algorithm_combination,job_algorithm,worker_algorithm,workload_intensity,avg_stability_chain,median_stability_chain,std_stability_chain,max_stability_chain,min_stability_chain,total_chains,degradation_events,degradation_rate,thermal_efficiency,no_cycles
edf_job+random_worker,edf_job,random_worker,heavy,4.0,4.0,,4,4,1,1,0.022644927536231884,176.64,False
rr_job+network_optimal_fair,rr_job,network_optimal_fair,heavy,65.75862068965517,26.0,77.9618291090554,261,0,29,32,1.1922503725782414,55.15504310344828,False
urgency_job+network_optimal_fair,urgency_job,network_optimal_fair,heavy,42.63157894736842,18.0,66.92893409476326,360,0,38,45,1.8812709030100336,22.661052631578944,False
edf_job+fastest_worker_fair,edf_job,fastest_worker_fair,heavy,40.1,11.0,57.68739808169456,220,0,40,45,1.8094089264173705,22.161933333333334,False
edf_job+network_optimal_fair,edf_job,network_optimal_fair,heavy,31.486486486486488,12.0,37.184690414217535,143,0,37,41,2.231899836690256,14.107481872116018,False
urgency_job+fastest_worker_fair,urgency_job,fastest_worker_fair,heavy,29.2,7.0,54.000377927626865,261,0,50,54,2.3591087811271296,12.377555555555556,False
rr_job+fastest_worker_fair,rr_job,fastest_worker_fair,heavy,26.177777777777777,6.0,44.79006022489248,180,0,45,50,2.699784017278618,9.696248888888888,False
edf_job+least_loaded_fair,edf_job,least_loaded_fair,heavy,0.0,0.0,0.0,0,0,0,0,0.0,0.0,True
edf_job+rr_worker,edf_job,rr_worker,heavy,0.0,0.0,0.0,0,0,0,0,0.0,0.0,True
rr_job+least_loaded_fair,rr_job,least_loaded_fair,heavy,0.0,0.0,0.0,0,0,0,0,0.0,0.0,True
rr_job+random_worker,rr_job,random_worker,heavy,0.0,0.0,0.0,0,0,0,0,0.0,0.0,True
rr_job+rr_worker,rr_job,rr_worker,heavy,0.0,0.0,0.0,0,0,0,0,0.0,0.0,True
urgency_job+least_loaded_fair,urgency_job,least_loaded_fair,heavy,0.0,0.0,0.0,0,0,0,0,0.0,0.0,True
urgency_job+random_worker,urgency_job,random_worker,heavy,0.0,0.0,0.0,0,0,0,0,0.0,0.0,True
urgency_job+rr_worker,urgency_job,rr_worker,heavy,0.0,0.0,0.0,0,0,0,0,0.0,0.0,True
rr_job+fastest_worker_fair,rr_job,fastest_worker_fair,light,4.429577464788732,2.0,5.463480156734778,32,0,142,153,15.148514851485148,0.29241001564945224,False
urgency_job+fastest_worker_fair,urgency_job,fastest_worker_fair,light,4.2025316455696204,3.0,4.087824852080281,21,0,158,172,16.682832201745878,0.2519075654989697,False
edf_job+fastest_worker_fair,edf_job,fastest_worker_fair,light,3.8353658536585367,2.0,4.775034049310896,21,0,164,169,16.683119447186577,0.2298950064944436,False
rr_job+network_optimal_fair,rr_job,network_optimal_fair,light,3.329608938547486,2.0,3.4491108385421403,19,0,179,195,19.268774703557312,0.1727981664517977,False
urgency_job+least_loaded_fair,urgency_job,least_loaded_fair,light,3.202185792349727,2.0,3.7236393087348394,24,0,183,193,19.127849355797817,0.16740960955859455,False
urgency_job+network_optimal_fair,urgency_job,network_optimal_fair,light,3.005714285714286,2.0,3.6585549921440115,26,0,175,188,19.873150105708245,0.15124498480243162,False
edf_job+least_loaded_fair,edf_job,least_loaded_fair,light,2.863157894736842,1.5,3.823100285768497,26,0,190,205,20.93973442288049,0.13673324775353016,False
edf_job+network_optimal_fair,edf_job,network_optimal_fair,light,2.8085106382978724,2.0,3.089663968522936,20,0,188,205,21.39874739039666,0.1312464971458225,False
rr_job+least_loaded_fair,rr_job,least_loaded_fair,light,2.7512953367875648,1.0,3.5517470584953297,24,0,193,207,21.318228630278064,0.12905834647443118,False
rr_job+rr_worker,rr_job,rr_worker,light,0.4810126582278481,0.0,1.026536561424219,6,0,158,204,20.858895705521473,0.02306031273268801,False
edf_job+rr_worker,edf_job,rr_worker,light,0.4888888888888889,0.0,1.145742124353605,7,0,180,221,22.5050916496945,0.02172347913524384,False
urgency_job+random_worker,urgency_job,random_worker,light,0.5833333333333334,0.0,0.9388685230561611,5,0,252,322,33.85909568874869,0.017228260869565217,False
edf_job+random_worker,edf_job,random_worker,light,0.5506072874493927,0.0,0.886019253463294,6,0,247,328,34.70899470899471,0.01586353312925842,False
rr_job+random_worker,rr_job,random_worker,light,0.5421686746987951,0.0,0.8975936219380132,5,0,249,333,34.224049331963,0.01584174535981765,False
urgency_job+rr_worker,urgency_job,rr_worker,light,0.25149700598802394,0.0,0.6373756706000862,4,0,167,221,22.23340040241449,0.011311675291950036,False
rr_job+rr_worker,rr_job,rr_worker,moderate,53.96,40.5,50.444942708838106,273,1,50,54,1.786896095301125,30.197614814814816,False
edf_job+rr_worker,edf_job,rr_worker,moderate,52.0625,28.5,57.75347691476835,251,0,48,52,1.7826534110387384,29.205060096153847,False
urgency_job+rr_worker,urgency_job,rr_worker,moderate,45.644067796610166,35.0,41.78094051196418,175,3,59,63,2.1133847702113386,21.597613666935697,False
urgency_job+network_optimal_fair,urgency_job,network_optimal_fair,moderate,36.679245283018865,8.0,66.24336645596635,391,0,53,65,2.89532293986637,12.668447024673439,False
rr_job+fastest_worker_fair,rr_job,fastest_worker_fair,moderate,29.83050847457627,6.0,59.037729766174884,323,0,59,66,3.224230581338544,9.251977401129944,False
rr_job+network_optimal_fair,rr_job,network_optimal_fair,moderate,25.753623188405797,6.0,45.86437993665205,184,0,69,73,3.208791208791209,8.025957911455231,False
edf_job+network_optimal_fair,edf_job,network_optimal_fair,moderate,25.704225352112676,6.0,50.81574400748459,252,0,71,78,3.508771929824561,7.325704225352113,False
urgency_job+fastest_worker_fair,urgency_job,fastest_worker_fair,moderate,23.0625,3.0,45.42877732807487,212,0,64,69,3.3527696793002915,6.878641304347826,False
edf_job+fastest_worker_fair,edf_job,fastest_worker_fair,moderate,23.39189189189189,5.0,45.54444391705952,220,0,74,80,3.641329085116067,6.423998310810812,False
rr_job+least_loaded_fair,rr_job,least_loaded_fair,moderate,12.377551020408163,3.0,26.476799922703165,145,0,98,112,3.9603960396039604,3.125331632653061,False
urgency_job+least_loaded_fair,urgency_job,least_loaded_fair,moderate,9.932692307692308,2.0,17.468565066903444,83,0,104,121,4.354084202950702,2.2812356961220597,False
edf_job+least_loaded_fair,edf_job,least_loaded_fair,moderate,9.586538461538462,2.5,18.86673271754809,129,0,104,119,4.317851959361393,2.2202100840336136,False
edf_job+random_worker,edf_job,random_worker,moderate,12.51269035532995,8.0,12.794932485827985,62,0,197,202,6.7807989258140315,1.8453121073528673,False
urgency_job+random_worker,urgency_job,random_worker,moderate,11.884615384615385,8.0,11.863806602340295,59,0,208,213,7.081117021276596,1.678353196099675,False
rr_job+random_worker,rr_job,random_worker,moderate,11.533333333333333,7.0,13.061552232811477,97,0,210,214,7.081403044341496,1.6286791277258568,False
